day_of_week,day_name,member_casual,ride_count,mean_ride_length,median_ride_length
1,Sunday,Overall,696847,15.44,10.66
1,Sunday,casual,324654,19.61,13.19
1,Sunday,member,372193,11.8,9.03
2,Monday,Overall,719195,12.73,8.94
2,Monday,casual,224393,17.15,10.96
2,Monday,member,494802,10.73,8.26
3,Tuesday,Overall,781968,12.11,8.91
3,Tuesday,casual,222837,15.28,10.14
3,Tuesday,member,559131,10.85,8.49
4,Wednesday,Overall,756154,11.84,8.81
4,Wednesday,casual,216738,14.51,9.86
4,Wednesday,member,539416,10.76,8.44
5,Thursday,Overall,813796,12.21,8.96
5,Thursday,casual,252682,15.26,10.21
5,Thursday,member,561114,10.84,8.5
6,Friday,Overall,830431,13.24,9.39
6,Friday,casual,313619,16.97,11.34
6,Friday,member,516812,10.97,8.5
7,Saturday,Overall,842632,15.36,10.81
7,Saturday,casual,405161,19.13,13.13
7,Saturday,member,437471,11.86,9.2
