start_hour,member_casual,ride_count,mean_ride_length,median_ride_length
0,Overall,69593,11.72,8.26
0,casual,38088,13.02,8.7
0,member,31505,10.16,7.73
1,Overall,43576,11.64,8.07
1,casual,24274,12.97,8.67
1,member,19302,9.97,7.37
2,Overall,27924,11.57,7.95
2,casual,16290,12.71,8.49
2,member,11634,9.98,7.27
3,Overall,16572,11.51,7.98
3,casual,9007,12.46,8.2
3,member,7565,10.37,7.77
4,Overall,15749,10.52,7.03
4,casual,7134,11.03,6.92
4,member,8615,10.1,7.17
5,Overall,44988,10.1,7.16
5,casual,11301,11.45,7.54
5,member,33687,9.65,7.04
6,Overall,125644,9.91,7.54
6,casual,26159,11.22,7.18
6,member,99485,9.57,7.64
7,Overall,246072,10.75,8.2
7,casual,48832,12.01,7.83
7,member,197240,10.44,8.3
8,Overall,322674,11.03,8.45
8,casual,69327,13.24,8.58
8,member,253347,10.43,8.41
9,Overall,233098,12.22,8.27
9,casual,69254,17.16,10.04
9,member,163844,10.13,7.73
10,Overall,223548,14.26,9.14
10,casual,83399,20.44,12.32
10,member,140149,10.58,7.92
11,Overall,270597,14.7,9.53
11,casual,106653,20.78,13.21
11,member,163944,10.75,8.0
12,Overall,311880,14.5,9.54
12,casual,125785,20.1,13.18
12,member,186095,10.72,7.94
13,Overall,309955,14.87,9.87
13,casual,129001,20.35,13.43
13,member,180954,10.96,8.19
14,Overall,319493,15.05,10.26
14,casual,135914,20.04,13.46
14,member,183579,11.36,8.61
15,Overall,383743,14.42,10.12
15,casual,151318,18.93,12.88
15,member,232425,11.49,8.87
16,Overall,501051,13.74,10.1
16,casual,172842,17.64,12.2
16,member,328209,11.69,9.25
17,Overall,562202,13.61,10.3
17,casual,187395,16.83,12.03
17,member,374807,12.0,9.59
18,Overall,450493,13.27,9.97
18,casual,160878,16.29,11.65
18,member,289615,11.59,9.16
19,Overall,319617,12.96,9.58
19,casual,119650,15.9,11.21
19,member,199967,11.2,8.75
20,Overall,224936,12.75,9.47
20,casual,86357,15.3,10.91
20,member,138579,11.16,8.69
21,Overall,182008,12.7,9.46
21,casual,73799,14.93,10.6
21,member,108209,11.18,8.77
22,Overall,141294,12.68,9.42
22,casual,62303,14.65,10.39
22,member,78991,11.13,8.75
23,Overall,94316,12.58,9.09
23,casual,45124,14.33,9.9
23,member,49192,10.98,8.4
